"name","total_pop","total_housing_unit"
"Stratmoor CDP, Colorado",7154,2594
"Stratton town, Colorado",722,285
"Sugar City town, Colorado",705,178
"Sugarloaf CDP, Colorado",501,187
"Sunshine CDP, Colorado",212,62
"Superior town, Colorado",13146,4646
"Swink town, Colorado",689,382
"Tabernash CDP, Colorado",791,401
"Tall Timber CDP, Colorado",410,131
"Telluride town, Colorado",2622,2336
"The Pinery CDP, Colorado",10534,3729
"Thornton city, Colorado",141799,49779
"Timnath town, Colorado",7122,2537
"Todd Creek CDP, Colorado",5057,1675
"Towaoc CDP, Colorado",1186,339
"Towner CDP, Colorado",10,8
"Trail Side CDP, Colorado",83,37
"Trinidad city, Colorado",8334,4424
"Twin Lakes CDP (Adams County), Colorado",7686,3016
"Twin Lakes CDP (Lake County), Colorado",348,324
"Two Buttes town, Colorado",19,22
"Upper Bear Creek CDP, Colorado",921,495
"Upper Witter Gulch CDP, Colorado",611,285
"Vail town, Colorado",4833,7206
"Valdez CDP, Colorado",12,10
"Valmont CDP, Colorado",81,49
"Vernon CDP, Colorado",0,0
"Victor city, Colorado",310,260
"Vilas town, Colorado",111,65
"Vineland CDP, Colorado",404,179
"Vona town, Colorado",148,69
"Walden town, Colorado",704,381
"Walsenburg city, Colorado",3072,1554
"Walsh town, Colorado",552,359
"Ward town, Colorado",47,45
"Watkins CDP, Colorado",991,336
"Welby CDP, Colorado",16287,5995
"Weldona CDP, Colorado",122,70
"Wellington town, Colorado",11163,4041
"Westcliffe town, Colorado",443,335
"Westcreek CDP, Colorado",281,146
"Westminster city, Colorado",115502,49153
"Weston CDP, Colorado",31,39
"West Pleasant View CDP, Colorado",5197,1851
"Wheat Ridge city, Colorado",32263,15595
"Wiggins town, Colorado",1138,365
"Wiley town, Colorado",412,158
"Williamsburg town, Colorado",810,317
"Windsor town, Colorado",33905,13351
"Winter Park town, Colorado",762,2757
"Wolcott CDP, Colorado",0,0
"Woodland Park city, Colorado",7911,3375
"Woodmoor CDP, Colorado",8859,3306
"Woody Creek CDP, Colorado",237,131
"Wray city, Colorado",2461,1046
"Yampa town, Colorado",424,218
"Yuma city, Colorado",3443,1348
